City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,monterey,36.2505,-121.2516,14.39,53,88,1.55,US,1675812989
83,sao joao da barra,-21.6403,-41.0511,25.05,95,100,3.98,BR,1675813137
84,avarua,-21.2078,-159.775,29.03,74,67,5.66,CK,1675812931
85,manakara,-22.1333,48.0167,22.52,90,100,1.23,MG,1675813138
86,nanortalik,60.1432,-45.2371,-15.74,71,32,8.94,GL,1675813014
87,dhandhuka,22.3667,71.9833,20.35,26,2,3.91,IN,1675813138
88,east london,-33.0153,27.9116,21.69,86,100,5.63,ZA,1675812812
89,talcahuano,-36.7167,-73.1167,21.82,46,0,5.66,CL,1675812916
90,civitavecchia,42.0933,11.7967,2.99,57,2,3.41,IT,1675813139
91,hasaki,35.7333,140.8333,8.22,72,100,10.31,JP,1675812979
92,aragats,40.4889,44.3528,-7.24,94,100,2.28,AM,1675813139
93,longyearbyen,78.2186,15.6401,-7.09,93,100,10.29,SJ,1675812958
94,quatre cocos,-20.2078,57.7625,26.06,81,38,6.38,MU,1675813139
95,kapaa,22.0752,-159.319,27.18,85,100,5.66,US,1675812744
96,huarmey,-10.0681,-78.1522,23.22,78,13,3.43,PE,1675812836
97,grand gaube,-20.0064,57.6608,26.22,81,45,1.34,MU,1675813140
98,sobolevo,54.4299,31.8996,-15.36,99,65,1.39,RU,1675812832
99,touros,-5.1989,-35.4608,26.53,67,75,6.9,BR,1675812948
100,vestmannaeyjar,63.4427,-20.2734,-0.08,61,100,14.83,IS,1675813056
101,turukhansk,65.8167,87.9833,-16.42,96,100,2.66,RU,1675813140
102,saskylakh,71.9167,114.0833,-34.15,99,99,0.71,RU,1675812812
103,mataura,-46.1927,168.8643,11.38,71,68,4.82,NZ,1675812834
104,kaitangata,-46.2817,169.8464,14.63,51,67,6.92,NZ,1675812952
105,bengkulu,-3.8004,102.2655,23.79,80,92,2.35,ID,1675812830
106,viedma,-40.8135,-62.9967,20.44,74,18,4.63,AR,1675813141
107,ostrovnoy,68.0531,39.5131,-0.46,78,55,10.89,RU,1675813141
108,prince rupert,54.3161,-130.3201,4.05,87,100,14.92,CA,1675812838
109,mar del plata,-38.0023,-57.5575,24.49,89,1,7.15,AR,1675812620
110,pisco,-13.7,-76.2167,25.03,73,0,8.75,PE,1675812839
111,beian,63.6559,9.5683,6.12,87,0,5.14,NO,1675813142
112,portobelo,9.55,-79.65,23.95,86,92,7.55,PA,1675813142
113,magaria,12.9983,8.9099,20.79,19,80,4.43,NE,1675813141
114,port-gentil,-0.7193,8.7815,25.98,89,40,1.54,GA,1675813143
115,dingle,10.9995,122.6711,25.11,85,98,4.36,PH,1675812981
116,jamestown,42.097,-79.2353,9.77,72,40,4.63,US,1675812585
117,neryungri,56.6709,124.6491,-28.67,97,100,1.88,RU,1675813145
118,cherskiy,68.75,161.3,-35.21,98,100,2.37,RU,1675813007
119,cabo san lucas,22.8909,-109.9124,25.61,59,40,5.14,MX,1675813136
120,maceio,-9.6658,-35.7353,24.69,88,0,2.06,BR,1675813146
121,souillac,-20.5167,57.5167,26.21,83,75,7.2,MU,1675813051
122,aketi,2.7388,23.7833,21.49,38,45,0.64,CD,1675813147
123,saint-georges,12.0564,-61.7485,25.82,83,40,5.14,GD,1675813151
124,khatanga,71.9667,102.5,-44.0,100,77,1.03,RU,1675812872
125,mahibadhoo,3.7833,72.9667,26.86,71,57,3.09,MV,1675813154
126,thompson,55.7435,-97.8558,-16.91,85,100,2.06,CA,1675813155
127,najran,17.4924,44.1277,16.36,64,11,3.07,SA,1675813015
128,katsuura,35.1333,140.3,10.56,75,98,7.7,JP,1675812899
129,yellowknife,62.456,-114.3525,-18.71,78,75,3.09,CA,1675812817
130,emerald,-23.5333,148.1667,26.3,59,31,4.36,AU,1675813052
131,samarai,-10.6167,150.6667,28.07,75,100,4.63,PG,1675813155
132,port hawkesbury,45.6169,-61.3485,-3.01,82,0,4.12,CA,1675813156
133,asau,46.4333,26.4,-4.49,98,100,1.63,RO,1675813156
134,cockburn town,21.4612,-71.1419,25.14,75,0,10.46,TC,1675812839
135,winnemucca,40.973,-117.7357,6.09,49,92,1.95,US,1675813157
136,karasjok,69.4719,25.5112,-5.06,80,22,4.05,NO,1675813164
137,salalah,17.0151,54.0924,21.05,46,0,2.06,OM,1675813138
138,kiunga,-6.1219,141.2906,26.99,80,98,2.04,PG,1675813166
139,kidal,18.4411,1.4078,24.7,13,87,4.69,ML,1675813066
140,erdemli,36.605,34.3084,6.37,56,100,1.8,TR,1675813167
141,goure,13.9835,10.2704,19.53,19,100,4.28,NE,1675813167
142,kavieng,-2.5744,150.7967,27.43,79,100,4.54,PG,1675812936
143,mayumba,-3.432,10.6554,24.97,88,51,1.1,GA,1675813167
144,hofn,64.2539,-15.2082,0.13,59,100,11.73,IS,1675813065
145,marystown,47.1666,-55.1483,-4.51,72,100,11.36,CA,1675813168
146,qasigiannguit,68.8193,-51.1922,-22.86,98,100,0.89,GL,1675813173
147,bowen,-20.0167,148.2333,27.42,78,94,7.55,AU,1675813177
148,codrington,-38.2667,141.9667,18.41,61,50,6.28,AU,1675812958
149,lagoa,39.05,-27.9833,13.23,60,61,6.28,PT,1675812953
150,jumla,29.2747,82.1838,0.77,63,3,1.69,NP,1675813177
151,loandjili,-4.7561,11.8578,25.65,88,93,2.52,CG,1675813187
152,barrow,71.2906,-156.7887,-17.99,78,100,4.12,US,1675812852
153,sitio novo do tocantins,-5.5183,-47.4611,22.87,98,100,1.31,BR,1675813189
154,victoria,22.2855,114.1577,18.03,87,91,5.81,HK,1675812943
155,esperance,-33.8667,121.9,20.86,65,100,4.71,AU,1675812986
156,dikson,73.5069,80.5464,-23.8,91,100,9.68,RU,1675812899
157,acapulco,16.8634,-99.8901,28.9,65,20,5.14,MX,1675812894
158,tari,12.4086,4.4914,24.02,13,100,4.72,NG,1675813189
159,bethel,41.3712,-73.414,2.64,70,0,0.89,US,1675812933
160,ribeira grande,38.5167,-28.7,12.65,66,57,4.47,PT,1675812955
161,pochutla,15.7432,-96.4661,28.9,55,1,2.65,MX,1675813190
162,goderich,43.7501,-81.7165,2.18,93,100,5.66,CA,1675813190
163,roma,43.2128,-75.4557,5.46,83,100,4.12,US,1675812839
164,pryozerne,45.2698,36.3303,-1.71,93,100,11.87,UA,1675813190
165,college,64.8569,-147.8028,-10.44,77,75,0.0,US,1675813057
166,saint-leu,-21.15,55.2833,25.48,74,26,1.75,RE,1675813191
167,saint-augustin,51.226,-58.6502,-20.0,87,8,1.75,CA,1675813050
168,sorong,-0.8833,131.25,26.06,85,100,3.62,ID,1675813191
